"date","upwelling","sahel","sahara","west_africa","central_africa","europe","north_america","south_america","north_atlantic","south_atlantic"
2023-02-01,9.765,0,0,0,0,12.5875,0.395,0,77.255,0
2023-02-02,8.99,0,0.0075,0,0,12.365,0.235,0,78.4,0
2023-02-03,3.6325,0,5.1875,0,0,44.78,0,0,46.3975,0
2023-02-04,14.6575,0,37.265,0,0,6.255,0.03,0,41.795,0
2023-02-05,26.29,0,17.5475,0,0,3.445,0,0,52.7175,0
2023-02-06,13.615,0,26.7975,0,0,5.525,0,0,54.065,0
2023-02-07,9.055,0,27.29,0,0,18.2375,0,0,45.4175,0
2023-02-08,17.0025,0,21.55,0,0,7.5875,0,0,53.8625,0
2023-02-09,11.835,0,1.05,0,0,0.36,0,0,86.755,0
2023-02-10,0.16,0,7.5675,0,0,0.7325,0.0175,0,91.5225,0
2023-02-11,0.085,0,0,0,0,0,0,0,99.915,0
2023-02-12,1.0475,0,0,0,0,0.1925,0.1275,0,98.6325,0
2023-02-13,3.1675,0,0,0,0,0.235,0.075,0,96.52,0
2023-02-14,13.0525,0,0,0,0,5.06,0,0,81.8875,0
2023-02-15,4.21,0,0.0475,0,0,10.015,0,0,85.7275,0
2023-02-16,3.13,0.285,6.24,0.0575,0,5.3025,1.1275,0,83.8575,0.005
2023-02-17,9.425,0,0,0,0,0.1325,3.7925,0,86.655,0
2023-02-18,10.14,0,0.07,0.0025,0,0.15,5.2375,0,84.4025,0
2023-02-19,3.5325,0.0825,6.785,0,0,13.1375,3.195,0,73.27,0
2023-02-20,2.7025,0.165,24.23,0.195,0,21.3925,0.2675,0,51.055,0
2023-02-21,6.5925,0.08,18.3875,0.455,0,9.1775,0.175,0,65.005,0.125
2023-02-22,1.6075,0.2225,26.63,0.495,0,10.0575,0.06,0,60.705,0.2225
2023-02-23,2.9325,0.285,26.365,0.03,0,13.8025,0,0,56.5925,0
2023-02-24,2.35,0.4825,29.32,0.0075,0,6.4575,0,0,61.38,0
2023-02-25,4.62,0.775,35.695,0,0,0.775,0,0,58.1325,0
2023-02-26,1.8425,0.1225,11.1725,0,0,9.0075,0,0,77.8575,0
2023-02-27,1.0475,0,2.7425,0,0,4.2775,0.01,0,91.9225,0
2023-02-28,5.0175,0,0.355,0,0,1.195,0.0125,0,93.4225,0
