date,hono_ppt,hono_para,ratio_hono,nitrate_ug_m3,f_calc,f_para,jhono,jhno3,no_ppt,no2_ppt,oh_m_cm3,rh,ratio_f,,,,,,,,,,,,,,,,,,
07/02/2023,2.88,2.89,0.98,1.39,14.04,14.49,0.001352724,5.00E-07,5.13,32.35,709794.0881,61,0.97,,,,,,,,,,,,,,,,,,
08/02/2023,12.51,2.46,5.21,0.78,121.60,22.63,0.001257727,4.52E-07,2.30,19.71,893659.2417,69,5.35,,,,,,,,,,,,,,,,,,
10/02/2023,13.08,2.43,5.17,0.63,139.32,26.62,0.001480193,5.59E-07,1.78,10.18,1201896.929,73,5.23,,,,,,,,,,,,,,,,,,
11/02/2023,8.59,2.33,3.78,0.61,101.14,26.19,0.001021535,3.92E-07,1.66,8.85,822976.1326,77,3.85,,,,,,,,,,,,,,,,,,
12/02/2023,14.51,2.30,6.03,0.62,157.48,26.02,0.000759538,2.90E-07,0.57,8.30,171876.6025,76,6.04,,,,,,,,,,,,,,,,,,
13/02/2023,13.37,2.35,5.81,0.91,106.51,18.21,0.001611668,5.95E-07,1.51,11.82,376626.4591,74,5.84,,,,,,,,,,,,,,,,,,
14/02/2023,8.71,2.46,3.64,0.93,65.50,18.03,0.001540189,5.71E-07,0.07,9.36,2051832.882,73,3.64,,,,,,,,,,,,,,,,,,
15/02/2023,7.56,2.39,3.20,1.27,43.34,13.22,0.001535314,5.67E-07,1.07,11.30,3287913.196,74,3.28,,,,,,,,,,,,,,,,,,
16/02/2023,9.42,2.62,3.62,0.59,113.19,28.36,0.001435348,5.28E-07,4.42,25.63,3231344.609,73,3.98,,,,,,,,,,,,,,,,,,
18/02/2023,11.70,2.28,5.10,1.31,63.83,12.02,0.001371902,5.09E-07,1.26,15.10,3645756.053,79,5.31,,,,,,,,,,,,,,,,,,
19/02/2023,13.35,2.09,5.95,1.80,51.64,8.60,0.001458739,5.36E-07,0.14,14.15,3424099.535,80,6.00,,,,,,,,,,,,,,,,,,
20/02/2023,7.00,2.09,3.41,1.60,32.17,9.30,0.000688239,2.54E-07,0.46,10.58,1014871.114,84,3.46,,,,,,,,,,,,,,,,,,
21/02/2023,14.34,1.89,7.37,1.76,61.00,8.29,0.001075721,3.81E-07,0.12,11.02,2577796.032,85,7.36,,,,,,,,,,,,,,,,,,
22/02/2023,16.94,1.93,9.02,1.78,75.50,8.44,0.001263542,4.38E-07,-0.24,10.14,3626395.176,82,8.95,,,,,,,,,,,,,,,,,,
23/02/2023,16.82,2.09,8.29,1.93,68.79,8.26,0.001115784,3.82E-07,0.34,14.11,1018558.5,78,8.36,,,,,,,,,,,,,,,,,,
24/02/2023,8.96,2.13,4.15,1.96,34.71,8.27,0.001367463,4.84E-07,1.74,11.95,642180.7924,77,4.19,,,,,,,,,,,,,,,,,,
26/02/2023,8.84,2.40,3.86,1.19,56.00,14.55,0.001503371,5.56E-07,1.55,11.73,-401121.2269,72,3.84,,,,,,,,,,,,,,,,,,
